rating_announcement,rating_announcement_change,region,announcement_count,announcement_count_resale,announcement_count_new,avg_price_resale,avg_price_new,rating_loan,rating_loan_change,min_numb_of_appr_loan,share_of_onln_loan,share_of_office_loan
1,0,Краснодарский Край,228037,75809,52225.0,127764,132270.0,3,0,5000.0,0.47,0.53
2,0,Московская Область,172242,57247,34838.0,153659,181756.0,1,1,10000.0,0.62,0.38
3,0,Москва,145131,65638,56824.0,275281,315195.0,2,-1,10000.0,0.6,0.4
4,0,Санкт-Петербург,93237,44008,40695.0,188425,236205.0,4,0,5000.0,0.53,0.47
5,1,Ростовская Область,88638,41625,17202.0,93333,105500.0,11,-2,5000.0,0.46,0.54
6,-1,Тюменская Область,86288,32155,13036.0,106780,116710.0,13,1,5000.0,0.61,0.39
7,0,Новосибирская Область,82961,48584,15154.0,105882,137746.0,17,2,1000.0,0.46,0.54
8,0,Свердловская Область,59343,21499,18452.0,92459,115375.0,7,-1,5000.0,0.49,0.51
9,0,Ленинградская Область,56628,14296,19989.0,136170,142331.0,32,1,1000.0,0.6,0.4
10,0,Республика Башкортостан,54267,19352,11014.0,75214,131146.0,5,0,5000.0,0.43,0.57
11,0,Республика Татарстан,48004,16750,13709.0,99524,152634.0,8,0,5000.0,0.37,0.63
12,0,Ставропольский Край,46750,21209,6673.0,91667,87051.0,18,-2,1000.0,0.46,0.54
13,2,Челябинская Область,32960,13108,7711.0,61111,86095.0,12,-1,5000.0,0.4,0.6
14,-1,Калининградская Область,32314,14065,8163.0,107411,113072.0,52,1,1000.0,0.46,0.54
15,-1,Воронежская Область,31087,16266,5867.0,88205,89000.0,21,0,1000.0,0.39,0.61
16,0,Иркутская Область,30416,10459,4551.0,76497,121860.0,15,0,1000.0,0.5,0.5
17,1,Белгородская Область,30283,12812,1581.0,83729,89961.0,47,-5,1000.0,0.42,0.58
18,-1,Удмуртская Республика,30142,12143,12835.0,73695,89904.0,16,1,1000.0,0.31,0.69
19,0,Красноярский Край,29206,13495,6393.0,93143,94126.0,14,-1,5000.0,0.5,0.5
20,1,Ханты-Мансийский Автономный округ - Югра,28799,16472,4867.0,100258,101738.0,19,-1,1000.0,0.47,0.53
21,-1,Нижегородская Область,27468,13177,4869.0,101075,126879.0,10,0,5000.0,0.34,0.66
22,1,Саратовская Область,23559,12975,2458.0,69412,73240.0,28,-5,1000.0,0.43,0.57
23,-1,Самарская Область,23309,10108,6157.0,82459,87995.0,6,6,5000.0,0.26,0.74
24,0,Пермский Край,22721,8414,7232.0,74163,114016.0,9,-2,5000.0,0.33,0.67
25,2,Приморский Край,21998,5075,13111.0,123404,153704.0,27,-1,1000.0,0.51,0.49
26,0,Владимирская Область,21863,9570,1774.0,73333,85578.0,34,-2,1000.0,0.47,0.53
27,2,Кемеровская Область,20807,11676,1899.0,80752,95410.0,22,0,1000.0,0.48,0.52
28,0,Волгоградская Область,20567,9218,3624.0,75290,79401.0,23,1,1000.0,0.45,0.55
29,-4,Калужская Область,19616,8219,1756.0,92843,93325.0,38,1,1000.0,0.35,0.65
30,0,Пензенская Область,19196,9582,5788.0,79310,78136.0,36,1,1000.0,0.32,0.68
31,0,Оренбургская Область,17349,8076,2494.0,59955,66955.0,24,1,1000.0,0.4,0.6
32,0,Тульская Область,16809,6490,3345.0,85915,91625.0,37,-2,1000.0,0.34,0.66
33,0,Ярославская Область,16752,7269,2556.0,76871,92336.0,40,0,1000.0,0.46,0.54
34,1,Омская Область,16249,9143,1743.0,85672,110805.0,31,-1,1000.0,0.49,0.51
35,-1,Тверская Область,15487,6457,2450.0,83678,96477.0,45,-4,1000.0,0.43,0.57
36,0,Вологодская Область,15020,6382,3272.0,73744,92842.0,42,-6,1000.0,0.36,0.64
37,1,Томская Область,14939,10525,1135.0,98425,100872.0,57,-3,1000.0,0.61,0.39
38,-1,Рязанская Область,14596,4149,7252.0,79227,91868.0,33,10,1000.0,0.3,0.7
39,0,Алтайский Край,12602,6143,1417.0,85978,90334.0,25,2,1000.0,0.42,0.58
40,0,Костромская Область,11846,5961,1059.0,77739,82670.0,70,1,500.0,0.43,0.57
41,1,Ульяновская Область,11278,5248,2916.0,70270,79408.0,44,0,1000.0,0.42,0.58
42,-1,Хабаровский Край,11112,5405,1343.0,90125,149099.0,30,-2,1000.0,0.48,0.52
43,0,Брянская Область,10969,4377,2565.0,67606,74592.0,35,3,1000.0,0.25,0.75
44,1,Республика Адыгея,10615,4262,1309.0,86304,105000.0,75,2,500.0,0.5,0.5
45,-1,Республика Саха (Якутия),9861,5263,820.0,123156,141399.0,39,-5,1000.0,0.46,0.54
46,0,Чувашская Республика,9557,5265,1437.0,80282,79577.0,20,0,1000.0,0.24,0.76
47,0,Смоленская Область,9375,3941,1887.0,61416,56033.0,50,2,1000.0,0.33,0.67
48,3,Амурская Область,9208,6158,681.0,135000,130977.0,59,-4,1000.0,0.5,0.5
49,1,Астраханская Область,8970,2929,3156.0,70000,117249.0,26,3,1000.0,0.27,0.73
50,-1,Республика Бурятия,8858,3350,1429.0,102218,,54,4,1000.0,0.54,0.46
51,-3,Кировская Область,8771,4960,1779.0,75333,87938.0,29,2,1000.0,0.3,0.7
52,2,Республика Хакасия,8127,4711,411.0,85044,82870.0,58,1,1000.0,0.37,0.63
53,0,Липецкая Область,7994,2895,2053.0,74455,87500.0,46,0,1000.0,0.33,0.67
54,-2,Сахалинская Область,7886,4453,1200.0,147619,174337.0,72,1,500.0,0.59,0.41
55,1,Республика Коми,7488,4357,223.0,76577,85527.0,41,6,1000.0,0.43,0.57
56,-1,Архангельская Область,7419,3374,1920.0,90385,115711.0,51,-6,1000.0,0.45,0.55
57,0,Ивановская Область,7297,3903,1078.0,72705,71155.0,65,-1,1000.0,0.33,0.67
58,2,Курганская Область,6747,2585,1175.0,60177,64630.0,64,-3,1000.0,0.47,0.53
59,-1,Забайкальский Край,6500,3788,581.0,105973,131326.0,53,4,1000.0,0.63,0.37
60,1,Республика Марий Эл,6421,3135,1352.0,68000,66637.0,55,5,1000.0,0.3,0.7
61,-2,Орловская Область,6352,2602,1334.0,71134,78940.0,73,-1,500.0,0.4,0.6
62,0,Курская Область,5857,3426,992.0,75917,84765.0,56,5,1000.0,0.37,0.63
63,1,Республика Северная Осетия - Алания,5347,3462,316.0,71970,65000.0,48,0,1000.0,0.31,0.69
64,1,Тамбовская Область,5193,2849,210.0,81191,,61,2,1000.0,0.43,0.57
65,-2,Новгородская Область,5117,1560,459.0,70758,86857.0,74,0,500.0,0.47,0.53
66,1,Псковская Область,4632,1480,1566.0,69623,68500.0,76,0,500.0,0.43,0.57
67,1,Кабардино-Балкарская Республика,4177,2893,109.0,69019,,69,-3,500.0,0.35,0.65
68,-2,Республика Мордовия,4084,1861,1052.0,70365,72409.0,62,7,1000.0,0.29,0.71
69,0,Ямало-Ненецкий Автономный округ,3820,2599,437.0,124135,,60,-4,1000.0,0.52,0.48
70,0,Республика Карелия,3504,1355,621.0,88818,120570.0,68,2,500.0,0.47,0.53
71,0,Республика Алтай,3462,555,81.0,104167,96000.0,79,0,100.0,0.49,0.51
72,0,Республика Тыва,3454,1334,314.0,125728,137808.0,71,-3,500.0,0.5,0.5
73,0,Республика Дагестан,2638,1971,,86680,,43,6,1000.0,0.4,0.6
74,0,Мурманская Область,2349,2076,,78125,,63,-1,1000.0,0.58,0.42
75,1,Республика Калмыкия,1722,843,48.0,67857,,66,-1,1000.0,0.16,0.84
76,2,Чеченская Республика,1553,1138,,71429,,49,1,1000.0,0.74,0.26
77,0,Камчатский Край,1520,948,,127586,,77,-2,500.0,0.49,0.51
78,-3,Карачаево-Черкесская Республика,1453,806,,86652,,67,0,500.0,0.3,0.7
79,0,Еврейская Автономная область,799,299,,71528,,80,0,1.0,0.54,0.46
81,-1,Республика Ингушетия,684,329,,46763,,84,-2,,,
82,-1,Магаданская Область,481,391,,113060,,78,0,100.0,0.67,0.33
84,-2,Чукотский Автономный округ,87,78,,110500,,86,-3,,,
86,-3,Ненецкий Автономный округ,64,48,,85092,,82,-1,,,
